    Depth        Gy       GyE       RBE        SL     Gy^-1     Gy^-2 LETm(keV/um)
     0.00     2.464     3.561     1.445     0.145     0.588     0.079       28.134
     0.01     2.470     3.577     1.448     0.143     0.591     0.079       28.304
     0.02     2.475     3.593     1.452     0.142     0.594     0.079       28.484
     0.03     2.481     3.610     1.455     0.140     0.597     0.079       28.673
     0.04     2.488     3.628     1.459     0.138     0.601     0.079       28.876
     0.05     2.494     3.647     1.462     0.136     0.604     0.079       29.092
     0.06     2.501     3.668     1.467     0.134     0.608     0.079       29.330
     0.07     2.508     3.689     1.471     0.132     0.612     0.079       29.573
     0.08     2.515     3.710     1.475     0.129     0.616     0.078       29.838
     0.09     2.522     3.733     1.480     0.127     0.620     0.078       30.125
     0.10     2.530     3.757     1.485     0.125     0.625     0.078       30.436
     0.11     2.538     3.783     1.490     0.122     0.630     0.078       30.782
     0.12     2.547     3.808     1.495     0.120     0.635     0.078       31.133
     0.13     2.556     3.836     1.501     0.117     0.640     0.077       31.561
     0.14     2.565     3.864     1.506     0.115     0.646     0.077       32.025
     0.15     2.575     3.895     1.512     0.112     0.652     0.077       32.601
     0.16     2.587     3.926     1.518     0.109     0.659     0.076       33.482
     0.17     2.601     3.963     1.524     0.106     0.666     0.076       34.479
     0.18     2.615     3.995     1.528     0.103     0.672     0.075       35.815
     0.19     2.631     4.023     1.529     0.101     0.676     0.074       37.788
     0.20     2.648     4.037     1.524     0.100     0.676     0.073       40.543
     0.21     2.663     4.035     1.515     0.100     0.671     0.072       43.721
     0.22     2.678     4.030     1.505     0.100     0.665     0.072       46.979
     0.23     2.683     4.022     1.499     0.101     0.661     0.072       48.771
     0.24     2.689     4.028     1.498     0.101     0.661     0.072       49.829
     0.25     2.681     4.025     1.501     0.101     0.662     0.072       48.636
     0.26     2.674     4.035     1.509     0.100     0.667     0.072       46.661
     0.27     2.662     4.060     1.525     0.098     0.678     0.073       43.018
     0.28     2.652     4.100     1.546     0.095     0.692     0.074       38.571
     0.29     2.643     4.085     1.545     0.096     0.686     0.075       35.758
     0.30     2.636     4.032     1.529     0.100     0.672     0.076       35.752
     0.31     2.635     4.021     1.526     0.101     0.670     0.076       37.063
     0.32     2.635     4.019     1.525     0.101     0.670     0.075       38.627
     0.33     2.638     4.021     1.525     0.101     0.672     0.075       39.974
     0.34     2.642     4.027     1.524     0.101     0.674     0.074       41.486
     0.35     2.646     4.030     1.523     0.101     0.674     0.073       42.793
     0.36     2.651     4.028     1.519     0.101     0.672     0.073       44.113
     0.37     2.655     4.030     1.518     0.101     0.672     0.073       44.982
     0.38     2.653     4.036     1.521     0.100     0.674     0.073       44.679
     0.39     2.654     4.036     1.521     0.100     0.672     0.074       44.390
     0.40     2.646     4.021     1.520     0.101     0.670     0.074       43.492
     0.41     2.642     4.030     1.525     0.101     0.674     0.074       42.564
     0.42     2.637     4.052     1.537     0.099     0.683     0.074       40.691
     0.43     2.633     4.085     1.551     0.096     0.694     0.074       38.507
     0.44     2.633     4.080     1.550     0.097     0.691     0.075       37.699
     0.45     2.634     4.047     1.537     0.099     0.681     0.075       39.073
     0.46     2.638     4.032     1.528     0.100     0.676     0.074       41.415
     0.47     2.643     4.020     1.521     0.101     0.671     0.074       43.936
     0.48     2.644     4.010     1.517     0.102     0.669     0.074       45.418
     0.49     2.645     4.012     1.517     0.102     0.669     0.073       46.414
     0.50     2.640     4.013     1.520     0.102     0.671     0.073       45.808
     0.51     2.636     4.023     1.526     0.101     0.675     0.074       44.724
     0.52     2.631     4.046     1.538     0.099     0.684     0.074       42.435
     0.53     2.625     4.079     1.554     0.097     0.696     0.074       39.531
     0.54     2.622     4.073     1.553     0.097     0.692     0.075       37.953
     0.55     2.619     4.035     1.541     0.100     0.681     0.075       38.480
     0.56     2.620     4.026     1.536     0.101     0.679     0.075       40.013
     0.57     2.623     4.023     1.534     0.101     0.678     0.075       41.632
     0.58     2.624     4.025     1.534     0.101     0.679     0.074       42.672
     0.59     2.627     4.029     1.533     0.101     0.680     0.074       43.750
     0.60     2.628     4.027     1.532     0.101     0.680     0.074       44.309
     0.61     2.629     4.028     1.532     0.101     0.680     0.074       44.795
     0.62     2.629     4.036     1.535     0.100     0.683     0.074       44.582
     0.63     2.626     4.052     1.543     0.099     0.688     0.074       43.407
     0.64     2.625     4.048     1.542     0.099     0.686     0.074       42.736
     0.65     2.619     4.024     1.537     0.101     0.680     0.075       42.437
     0.66     2.617     4.025     1.538     0.101     0.681     0.075       42.457
     0.67     2.614     4.035     1.544     0.100     0.686     0.075       41.886
     0.68     2.611     4.055     1.553     0.099     0.693     0.075       40.793
     0.69     2.611     4.053     1.552     0.099     0.691     0.075       40.482
     0.70     2.610     4.032     1.545     0.100     0.685     0.075       41.179
     0.71     2.612     4.027     1.542     0.101     0.684     0.075       42.425
     0.72     2.614     4.028     1.541     0.101     0.684     0.074       43.458
     0.73     2.614     4.035     1.544     0.100     0.687     0.074       43.708
     0.74     2.616     4.036     1.543     0.100     0.686     0.074       44.131
     0.75     2.613     4.026     1.540     0.101     0.684     0.074       44.265
     0.76     2.613     4.027     1.542     0.101     0.685     0.074       44.439
     0.77     2.611     4.038     1.547     0.100     0.689     0.074       43.895
     0.78     2.608     4.057     1.556     0.098     0.696     0.074       42.572
     0.79     2.607     4.053     1.555     0.099     0.694     0.075       41.947
     0.80     2.603     4.029     1.548     0.101     0.687     0.075       42.109
     0.81     2.603     4.026     1.547     0.101     0.687     0.075       42.742
     0.82     2.602     4.031     1.549     0.100     0.689     0.075       42.980
     0.83     2.600     4.044     1.555     0.099     0.694     0.075       42.560
     0.84     2.601     4.043     1.555     0.099     0.693     0.075       42.610
     0.85     2.599     4.028     1.550     0.101     0.689     0.075       43.008
     0.86     2.600     4.026     1.549     0.101     0.689     0.075       43.700
     0.87     2.600     4.033     1.551     0.100     0.691     0.074       43.924
     0.88     2.598     4.046     1.557     0.099     0.696     0.074       43.382
     0.89     2.599     4.045     1.557     0.099     0.695     0.075       43.302
     0.90     2.596     4.028     1.551     0.101     0.690     0.075       43.517
     0.91     2.596     4.027     1.551     0.101     0.690     0.075       44.006
     0.92     2.595     4.035     1.555     0.100     0.693     0.074       43.954
     0.93     2.593     4.050     1.562     0.099     0.699     0.075       43.156
     0.94     2.593     4.048     1.561     0.099     0.697     0.075       42.912
     0.95     2.590     4.028     1.555     0.101     0.692     0.075       43.160
     0.96     2.590     4.026     1.555     0.101     0.692     0.075       43.762
     0.97     2.589     4.033     1.558     0.100     0.695     0.075       43.892
     0.98     2.587     4.047     1.564     0.099     0.700     0.075       43.298
     0.99     2.587     4.045     1.563     0.099     0.699     0.075       43.208
     1.00     2.585     4.028     1.558     0.101     0.694     0.075       43.510
     1.01     2.585     4.026     1.558     0.101     0.694     0.075       44.127
     1.02     2.585     4.033     1.560     0.100     0.697     0.075       44.252
     1.03     2.583     4.047     1.567     0.099     0.702     0.075       43.624
     1.04     2.583     4.046     1.566     0.099     0.701     0.075       43.501
     1.05     2.581     4.028     1.561     0.101     0.696     0.075       43.761
     1.06     2.581     4.027     1.560     0.101     0.696     0.075       44.334
     1.07     2.580     4.034     1.563     0.100     0.699     0.075       44.395
     1.08     2.578     4.048     1.570     0.099     0.704     0.075       43.703
     1.09     2.578     4.047     1.570     0.099     0.703     0.075       43.540
     1.10     2.575     4.028     1.564     0.101     0.698     0.075       43.805
     1.11     2.575     4.026     1.564     0.101     0.698     0.075       44.402
     1.12     2.575     4.033     1.566     0.100     0.701     0.075       44.499
     1.13     2.573     4.048     1.573     0.099     0.706     0.075       43.849
     1.14     2.573     4.046     1.573     0.099     0.705     0.075       43.719
     1.15     2.570     4.028     1.567     0.101     0.700     0.075       44.002
     1.16     2.570     4.026     1.567     0.101     0.700     0.075       44.610
     1.17     2.570     4.034     1.569     0.100     0.703     0.075       44.716
     1.18     2.568     4.048     1.576     0.099     0.708     0.075       44.063
     1.19     2.568     4.046     1.576     0.099     0.707     0.075       43.932
     1.20     2.566     4.028     1.570     0.101     0.702     0.075       44.209
     1.21     2.565     4.026     1.570     0.101     0.702     0.075       44.811
