    Depth        Gy       GyE       RBE        SL     Gy^-1     Gy^-2 LETm(keV/um)
     0.00     1.777     1.942     1.093     0.420     0.373     0.064       13.060
     0.01     1.777     1.942     1.093     0.420     0.373     0.064       13.062
     0.02     1.777     1.942     1.093     0.420     0.373     0.064       13.064
     0.03     1.777     1.942     1.093     0.420     0.373     0.064       13.066
     0.04     1.777     1.942     1.093     0.420     0.373     0.064       13.068
     0.05     1.777     1.942     1.093     0.420     0.373     0.064       13.070
     0.06     1.777     1.942     1.093     0.420     0.373     0.064       13.073
     0.07     1.777     1.942     1.093     0.420     0.373     0.064       13.075
     0.08     1.777     1.942     1.093     0.420     0.373     0.064       13.077
     0.09     1.777     1.942     1.093     0.420     0.373     0.064       13.079
     0.10     1.777     1.942     1.093     0.420     0.374     0.064       13.082
     0.11     1.777     1.942     1.093     0.420     0.374     0.064       13.084
     0.12     1.777     1.942     1.093     0.420     0.374     0.064       13.086
     0.13     1.776     1.942     1.093     0.420     0.374     0.064       13.088
     0.14     1.776     1.942     1.093     0.420     0.374     0.064       13.090
     0.15     1.776     1.942     1.093     0.420     0.374     0.064       13.093
     0.16     1.777     1.943     1.093     0.420     0.374     0.064       13.094
     0.17     1.777     1.943     1.094     0.420     0.374     0.064       13.096
     0.18     1.777     1.943     1.094     0.420     0.374     0.064       13.098
     0.19     1.777     1.943     1.094     0.420     0.374     0.064       13.100
     0.20     1.777     1.943     1.094     0.420     0.374     0.064       13.102
     0.21     1.777     1.943     1.094     0.420     0.374     0.064       13.104
     0.22     1.777     1.943     1.094     0.420     0.374     0.064       13.106
     0.23     1.777     1.943     1.094     0.420     0.374     0.064       13.108
     0.24     1.777     1.943     1.094     0.420     0.374     0.064       13.111
     0.25     1.777     1.943     1.094     0.420     0.374     0.064       13.113
     0.26     1.777     1.943     1.094     0.420     0.374     0.064       13.115
     0.27     1.777     1.944     1.094     0.420     0.374     0.064       13.117
     0.28     1.777     1.944     1.094     0.420     0.374     0.064       13.120
     0.29     1.777     1.944     1.094     0.420     0.374     0.064       13.122
     0.30     1.777     1.944     1.094     0.420     0.374     0.064       13.124
     0.31     1.777     1.944     1.094     0.420     0.374     0.064       13.126
     0.32     1.777     1.944     1.094     0.420     0.374     0.064       13.129
     0.33     1.777     1.944     1.094     0.420     0.374     0.064       13.131
     0.34     1.777     1.944     1.094     0.420     0.374     0.064       13.133
     0.35     1.777     1.944     1.094     0.420     0.374     0.064       13.135
     0.36     1.777     1.944     1.094     0.420     0.374     0.064       13.137
     0.37     1.777     1.944     1.094     0.420     0.374     0.064       13.139
     0.38     1.777     1.944     1.094     0.420     0.374     0.064       13.141
     0.39     1.777     1.944     1.094     0.420     0.374     0.064       13.143
     0.40     1.777     1.945     1.094     0.420     0.374     0.064       13.145
     0.41     1.777     1.945     1.094     0.420     0.374     0.064       13.147
     0.42     1.777     1.945     1.094     0.420     0.374     0.064       13.150
     0.43     1.777     1.945     1.094     0.420     0.374     0.064       13.152
     0.44     1.777     1.945     1.094     0.420     0.374     0.064       13.154
     0.45     1.777     1.945     1.094     0.420     0.374     0.064       13.156
     0.46     1.777     1.945     1.095     0.420     0.374     0.064       13.159
     0.47     1.777     1.945     1.095     0.420     0.374     0.064       13.161
     0.48     1.777     1.945     1.095     0.420     0.374     0.064       13.163
     0.49     1.777     1.945     1.095     0.420     0.374     0.064       13.166
     0.50     1.777     1.945     1.095     0.420     0.374     0.065       13.168
     0.51     1.777     1.945     1.095     0.420     0.374     0.065       13.170
     0.52     1.777     1.945     1.095     0.420     0.374     0.065       13.173
     0.53     1.777     1.945     1.095     0.420     0.374     0.065       13.175
     0.54     1.777     1.945     1.095     0.420     0.374     0.065       13.177
     0.55     1.777     1.945     1.095     0.420     0.374     0.065       13.180
     0.56     1.777     1.946     1.095     0.419     0.374     0.065       13.182
     0.57     1.777     1.946     1.095     0.419     0.374     0.065       13.184
     0.58     1.777     1.946     1.095     0.419     0.374     0.065       13.186
     0.59     1.777     1.946     1.095     0.419     0.374     0.065       13.188
     0.60     1.777     1.946     1.095     0.419     0.374     0.065       13.190
     0.61     1.777     1.946     1.095     0.419     0.374     0.065       13.192
     0.62     1.777     1.946     1.095     0.419     0.374     0.065       13.194
     0.63     1.777     1.946     1.095     0.419     0.374     0.065       13.197
     0.64     1.777     1.947     1.095     0.419     0.374     0.065       13.199
     0.65     1.777     1.947     1.095     0.419     0.374     0.065       13.201
     0.66     1.777     1.947     1.095     0.419     0.374     0.065       13.204
     0.67     1.777     1.947     1.095     0.419     0.374     0.065       13.206
     0.68     1.777     1.947     1.095     0.419     0.374     0.065       13.208
     0.69     1.777     1.947     1.095     0.419     0.374     0.065       13.211
     0.70     1.777     1.947     1.095     0.419     0.375     0.065       13.213
     0.71     1.777     1.947     1.095     0.419     0.375     0.065       13.216
     0.72     1.777     1.947     1.096     0.419     0.375     0.065       13.218
     0.73     1.777     1.947     1.096     0.419     0.375     0.065       13.220
     0.74     1.777     1.947     1.096     0.419     0.375     0.065       13.223
     0.75     1.777     1.947     1.096     0.419     0.375     0.065       13.225
     0.76     1.777     1.947     1.096     0.419     0.375     0.065       13.227
     0.77     1.777     1.948     1.096     0.419     0.375     0.065       13.229
     0.78     1.778     1.948     1.096     0.419     0.375     0.065       13.231
     0.79     1.778     1.948     1.096     0.419     0.375     0.065       13.233
     0.80     1.778     1.948     1.096     0.419     0.375     0.065       13.236
     0.81     1.778     1.948     1.096     0.419     0.375     0.065       13.238
     0.82     1.778     1.948     1.096     0.419     0.375     0.065       13.240
     0.83     1.778     1.948     1.096     0.419     0.375     0.065       13.243
     0.84     1.778     1.948     1.096     0.419     0.375     0.065       13.245
     0.85     1.778     1.948     1.096     0.419     0.375     0.065       13.247
     0.86     1.778     1.949     1.096     0.419     0.375     0.065       13.250
     0.87     1.778     1.949     1.096     0.419     0.375     0.065       13.252
     0.88     1.778     1.949     1.096     0.419     0.375     0.065       13.255
     0.89     1.778     1.949     1.096     0.419     0.375     0.065       13.257
     0.90     1.778     1.949     1.096     0.419     0.375     0.065       13.260
     0.91     1.778     1.949     1.096     0.419     0.375     0.065       13.262
     0.92     1.778     1.949     1.096     0.419     0.375     0.065       13.265
     0.93     1.778     1.949     1.096     0.419     0.375     0.065       13.267
     0.94     1.778     1.949     1.096     0.419     0.375     0.065       13.270
     0.95     1.778     1.949     1.096     0.419     0.375     0.065       13.272
     0.96     1.778     1.949     1.096     0.419     0.375     0.065       13.274
     0.97     1.778     1.950     1.096     0.419     0.375     0.065       13.276
     0.98     1.778     1.950     1.097     0.418     0.375     0.065       13.278
     0.99     1.778     1.950     1.097     0.418     0.375     0.065       13.281
     1.00     1.778     1.950     1.097     0.418     0.375     0.065       13.283
     1.01     1.778     1.950     1.097     0.418     0.375     0.065       13.285
     1.02     1.778     1.950     1.097     0.418     0.375     0.065       13.288
     1.03     1.778     1.950     1.097     0.418     0.375     0.065       13.290
     1.04     1.778     1.951     1.097     0.418     0.375     0.065       13.292
     1.05     1.779     1.951     1.097     0.418     0.375     0.065       13.295
     1.06     1.779     1.951     1.097     0.418     0.375     0.065       13.298
     1.07     1.778     1.951     1.097     0.418     0.375     0.065       13.300
     1.08     1.778     1.951     1.097     0.418     0.375     0.065       13.303
     1.09     1.778     1.951     1.097     0.418     0.375     0.065       13.305
     1.10     1.778     1.951     1.097     0.418     0.375     0.065       13.308
     1.11     1.778     1.951     1.097     0.418     0.375     0.065       13.310
     1.12     1.779     1.951     1.097     0.418     0.375     0.065       13.313
     1.13     1.779     1.951     1.097     0.418     0.375     0.065       13.315
     1.14     1.779     1.951     1.097     0.418     0.375     0.065       13.318
     1.15     1.779     1.951     1.097     0.418     0.375     0.065       13.320
     1.16     1.779     1.952     1.097     0.418     0.375     0.065       13.323
     1.17     1.779     1.952     1.097     0.418     0.375     0.065       13.325
     1.18     1.779     1.952     1.097     0.418     0.375     0.065       13.327
     1.19     1.779     1.952     1.097     0.418     0.375     0.065       13.329
     1.20     1.779     1.953     1.097     0.418     0.375     0.065       13.331
     1.21     1.779     1.953     1.097     0.418     0.375     0.065       13.334
     1.22     1.779     1.953     1.097     0.418     0.375     0.065       13.337
     1.23     1.779     1.953     1.098     0.418     0.376     0.065       13.339
     1.24     1.779     1.953     1.098     0.418     0.376     0.065       13.342
     1.25     1.779     1.953     1.098     0.418     0.376     0.065       13.344
     1.26     1.779     1.953     1.098     0.418     0.376     0.065       13.347
     1.27     1.779     1.953     1.098     0.418     0.376     0.065       13.349
     1.28     1.779     1.953     1.098     0.418     0.376     0.065       13.352
     1.29     1.779     1.953     1.098     0.418     0.376     0.065       13.355
     1.30     1.779     1.953     1.098     0.418     0.376     0.065       13.357
     1.31     1.779     1.954     1.098     0.418     0.376     0.065       13.360
     1.32     1.779     1.954     1.098     0.418     0.376     0.065       13.363
     1.33     1.779     1.954     1.098     0.418     0.376     0.065       13.365
     1.34     1.779     1.954     1.098     0.418     0.376     0.065       13.368
     1.35     1.779     1.954     1.098     0.418     0.376     0.065       13.370
     1.36     1.780     1.954     1.098     0.417     0.376     0.065       13.373
     1.37     1.780     1.954     1.098     0.417     0.376     0.065       13.375
     1.38     1.780     1.955     1.098     0.417     0.376     0.065       13.377
