    Depth        Gy       GyE       RBE        SL     Gy^-1     Gy^-2 LETm(keV/um)
     0.00     1.776     2.004     1.128     0.406     0.390     0.066       14.924
     0.01     1.776     2.005     1.128     0.406     0.390     0.066       14.928
     0.02     1.777     2.005     1.129     0.406     0.390     0.066       14.933
     0.03     1.777     2.005     1.129     0.406     0.390     0.066       14.938
     0.04     1.777     2.006     1.129     0.405     0.390     0.066       14.942
     0.05     1.777     2.006     1.129     0.405     0.391     0.066       14.946
     0.06     1.778     2.007     1.129     0.405     0.391     0.066       14.951
     0.07     1.778     2.007     1.129     0.405     0.391     0.066       14.955
     0.08     1.778     2.008     1.129     0.405     0.391     0.066       14.959
     0.09     1.778     2.008     1.129     0.405     0.391     0.066       14.964
     0.10     1.779     2.009     1.129     0.405     0.391     0.066       14.969
     0.11     1.779     2.009     1.129     0.405     0.391     0.066       14.973
     0.12     1.779     2.010     1.129     0.405     0.391     0.066       14.978
     0.13     1.780     2.010     1.130     0.404     0.391     0.066       14.982
     0.14     1.780     2.011     1.130     0.404     0.391     0.066       14.987
     0.15     1.780     2.011     1.130     0.404     0.391     0.066       14.991
     0.16     1.780     2.012     1.130     0.404     0.391     0.066       14.996
     0.17     1.781     2.012     1.130     0.404     0.391     0.066       15.000
     0.18     1.781     2.012     1.130     0.404     0.391     0.066       15.005
     0.19     1.781     2.013     1.130     0.404     0.391     0.066       15.010
     0.20     1.782     2.014     1.130     0.404     0.391     0.066       15.014
     0.21     1.782     2.014     1.130     0.404     0.391     0.066       15.019
     0.22     1.782     2.014     1.130     0.403     0.391     0.066       15.023
     0.23     1.782     2.015     1.131     0.403     0.391     0.066       15.028
     0.24     1.783     2.015     1.131     0.403     0.391     0.066       15.032
     0.25     1.783     2.016     1.131     0.403     0.392     0.066       15.037
     0.26     1.783     2.016     1.131     0.403     0.392     0.066       15.042
     0.27     1.783     2.017     1.131     0.403     0.392     0.066       15.047
     0.28     1.784     2.017     1.131     0.403     0.392     0.066       15.051
     0.29     1.784     2.018     1.131     0.403     0.392     0.066       15.056
     0.30     1.784     2.018     1.131     0.403     0.392     0.066       15.061
     0.31     1.785     2.019     1.131     0.402     0.392     0.066       15.065
     0.32     1.785     2.019     1.131     0.402     0.392     0.066       15.070
     0.33     1.785     2.020     1.131     0.402     0.392     0.066       15.075
     0.34     1.785     2.020     1.132     0.402     0.392     0.066       15.079
     0.35     1.786     2.021     1.132     0.402     0.392     0.066       15.084
     0.36     1.786     2.021     1.132     0.402     0.392     0.066       15.089
     0.37     1.786     2.022     1.132     0.402     0.392     0.066       15.094
     0.38     1.787     2.022     1.132     0.402     0.392     0.066       15.098
     0.39     1.787     2.023     1.132     0.401     0.392     0.066       15.103
     0.40     1.787     2.024     1.132     0.401     0.392     0.066       15.108
     0.41     1.788     2.024     1.132     0.401     0.392     0.066       15.113
     0.42     1.788     2.025     1.132     0.401     0.392     0.066       15.117
     0.43     1.788     2.025     1.132     0.401     0.392     0.066       15.122
     0.44     1.788     2.026     1.133     0.401     0.392     0.066       15.127
     0.45     1.789     2.026     1.133     0.401     0.393     0.066       15.132
     0.46     1.789     2.027     1.133     0.401     0.393     0.066       15.137
     0.47     1.789     2.027     1.133     0.401     0.393     0.066       15.142
     0.48     1.790     2.028     1.133     0.400     0.393     0.066       15.146
     0.49     1.790     2.028     1.133     0.400     0.393     0.066       15.151
     0.50     1.790     2.029     1.133     0.400     0.393     0.066       15.156
     0.51     1.791     2.029     1.133     0.400     0.393     0.066       15.161
     0.52     1.791     2.030     1.133     0.400     0.393     0.066       15.166
     0.53     1.791     2.030     1.134     0.400     0.393     0.066       15.171
     0.54     1.792     2.031     1.134     0.400     0.393     0.066       15.176
     0.55     1.792     2.031     1.134     0.400     0.393     0.066       15.181
     0.56     1.792     2.032     1.134     0.399     0.393     0.066       15.185
     0.57     1.792     2.033     1.134     0.399     0.393     0.066       15.191
     0.58     1.793     2.033     1.134     0.399     0.393     0.066       15.196
     0.59     1.793     2.034     1.134     0.399     0.393     0.066       15.201
     0.60     1.793     2.034     1.134     0.399     0.393     0.066       15.205
     0.61     1.794     2.035     1.134     0.399     0.393     0.066       15.210
     0.62     1.794     2.035     1.134     0.399     0.393     0.066       15.216
     0.63     1.794     2.036     1.135     0.399     0.394     0.066       15.221
     0.64     1.795     2.036     1.135     0.398     0.394     0.066       15.225
     0.65     1.795     2.037     1.135     0.398     0.394     0.066       15.231
     0.66     1.795     2.038     1.135     0.398     0.394     0.066       15.236
     0.67     1.796     2.038     1.135     0.398     0.394     0.066       15.241
     0.68     1.796     2.039     1.135     0.398     0.394     0.066       15.246
     0.69     1.796     2.039     1.135     0.398     0.394     0.066       15.251
     0.70     1.797     2.040     1.135     0.398     0.394     0.066       15.256
     0.71     1.797     2.040     1.135     0.398     0.394     0.066       15.261
     0.72     1.797     2.041     1.136     0.397     0.394     0.066       15.266
     0.73     1.798     2.041     1.136     0.397     0.394     0.066       15.271
     0.74     1.798     2.042     1.136     0.397     0.394     0.066       15.276
     0.75     1.798     2.043     1.136     0.397     0.394     0.066       15.282
     0.76     1.799     2.043     1.136     0.397     0.394     0.066       15.286
     0.77     1.799     2.044     1.136     0.397     0.394     0.066       15.292
     0.78     1.799     2.044     1.136     0.397     0.394     0.066       15.297
     0.79     1.800     2.045     1.136     0.396     0.394     0.066       15.302
     0.80     1.800     2.046     1.136     0.396     0.394     0.066       15.307
     0.81     1.800     2.046     1.137     0.396     0.395     0.066       15.312
     0.82     1.801     2.047     1.137     0.396     0.395     0.066       15.318
     0.83     1.801     2.047     1.137     0.396     0.395     0.067       15.323
     0.84     1.801     2.048     1.137     0.396     0.395     0.067       15.328
     0.85     1.802     2.048     1.137     0.396     0.395     0.067       15.333
     0.86     1.802     2.049     1.137     0.396     0.395     0.067       15.339
     0.87     1.802     2.050     1.137     0.395     0.395     0.067       15.344
     0.88     1.803     2.050     1.137     0.395     0.395     0.067       15.349
     0.89     1.803     2.051     1.137     0.395     0.395     0.067       15.355
     0.90     1.803     2.051     1.138     0.395     0.395     0.067       15.360
     0.91     1.804     2.052     1.138     0.395     0.395     0.067       15.365
     0.92     1.804     2.053     1.138     0.395     0.395     0.067       15.370
     0.93     1.805     2.053     1.138     0.395     0.395     0.067       15.376
     0.94     1.805     2.054     1.138     0.394     0.395     0.067       15.381
     0.95     1.805     2.054     1.138     0.394     0.395     0.067       15.387
     0.96     1.806     2.055     1.138     0.394     0.395     0.067       15.392
     0.97     1.806     2.056     1.138     0.394     0.395     0.067       15.397
     0.98     1.806     2.056     1.138     0.394     0.396     0.067       15.403
     0.99     1.807     2.057     1.139     0.394     0.396     0.067       15.408
     1.00     1.807     2.058     1.139     0.394     0.396     0.067       15.413
     1.01     1.807     2.058     1.139     0.393     0.396     0.067       15.419
     1.02     1.808     2.059     1.139     0.393     0.396     0.067       15.424
     1.03     1.808     2.059     1.139     0.393     0.396     0.067       15.430
     1.04     1.808     2.060     1.139     0.393     0.396     0.067       15.435
     1.05     1.809     2.061     1.139     0.393     0.396     0.067       15.441
     1.06     1.809     2.061     1.139     0.393     0.396     0.067       15.446
     1.07     1.809     2.062     1.140     0.393     0.396     0.067       15.452
     1.08     1.810     2.063     1.140     0.392     0.396     0.067       15.457
     1.09     1.810     2.063     1.140     0.392     0.396     0.067       15.463
     1.10     1.811     2.064     1.140     0.392     0.396     0.067       15.468
     1.11     1.811     2.064     1.140     0.392     0.396     0.067       15.474
     1.12     1.811     2.065     1.140     0.392     0.396     0.067       15.479
     1.13     1.812     2.066     1.140     0.392     0.396     0.067       15.485
     1.14     1.812     2.066     1.140     0.392     0.397     0.067       15.491
     1.15     1.812     2.067     1.140     0.391     0.397     0.067       15.496
     1.16     1.813     2.068     1.141     0.391     0.397     0.067       15.502
     1.17     1.813     2.068     1.141     0.391     0.397     0.067       15.507
     1.18     1.814     2.069     1.141     0.391     0.397     0.067       15.513
     1.19     1.814     2.070     1.141     0.391     0.397     0.067       15.519
     1.20     1.815     2.070     1.141     0.391     0.397     0.067       15.524
     1.21     1.815     2.071     1.141     0.391     0.397     0.067       15.530
     1.22     1.815     2.072     1.141     0.390     0.397     0.067       15.536
     1.23     1.816     2.072     1.141     0.390     0.397     0.067       15.542
     1.24     1.816     2.073     1.142     0.390     0.397     0.067       15.547
     1.25     1.816     2.074     1.142     0.390     0.397     0.067       15.553
     1.26     1.817     2.074     1.142     0.390     0.397     0.067       15.559
     1.27     1.817     2.075     1.142     0.390     0.397     0.067       15.565
     1.28     1.818     2.076     1.142     0.389     0.397     0.067       15.570
     1.29     1.818     2.076     1.142     0.389     0.398     0.067       15.576
     1.30     1.818     2.077     1.142     0.389     0.398     0.067       15.582
     1.31     1.819     2.078     1.142     0.389     0.398     0.067       15.588
     1.32     1.819     2.079     1.143     0.389     0.398     0.067       15.593
     1.33     1.820     2.079     1.143     0.389     0.398     0.067       15.599
     1.34     1.820     2.080     1.143     0.389     0.398     0.067       15.605
     1.35     1.820     2.081     1.143     0.388     0.398     0.067       15.611
     1.36     1.821     2.081     1.143     0.388     0.398     0.067       15.617
     1.37     1.821     2.082     1.143     0.388     0.398     0.067       15.623
     1.38     1.822     2.083     1.143     0.388     0.398     0.067       15.629
     1.39     1.822     2.083     1.143     0.388     0.398     0.067       15.635
     1.40     1.822     2.084     1.144     0.388     0.398     0.067       15.640
     1.41     1.823     2.085     1.144     0.387     0.398     0.067       15.646
     1.42     1.823     2.085     1.144     0.387     0.398     0.067       15.652
     1.43     1.824     2.086     1.144     0.387     0.398     0.067       15.659
     1.44     1.824     2.087     1.144     0.387     0.399     0.067       15.664
     1.45     1.824     2.088     1.144     0.387     0.399     0.067       15.670
     1.46     1.825     2.088     1.144     0.387     0.399     0.067       15.676
     1.47     1.825     2.089     1.144     0.387     0.399     0.067       15.683
     1.48     1.826     2.090     1.145     0.386     0.399     0.067       15.688
     1.49     1.826     2.091     1.145     0.386     0.399     0.067       15.694
     1.50     1.827     2.091     1.145     0.386     0.399     0.067       15.701
     1.51     1.827     2.092     1.145     0.386     0.399     0.067       15.707
     1.52     1.827     2.093     1.145     0.386     0.399     0.067       15.713
     1.53     1.828     2.093     1.145     0.386     0.399     0.067       15.719
     1.54     1.828     2.094     1.145     0.385     0.399     0.067       15.725
     1.55     1.829     2.095     1.146     0.385     0.399     0.067       15.731
     1.56     1.829     2.096     1.146     0.385     0.399     0.067       15.737
     1.57     1.830     2.096     1.146     0.385     0.399     0.067       15.743
     1.58     1.830     2.097     1.146     0.385     0.400     0.067       15.750
     1.59     1.830     2.098     1.146     0.385     0.400     0.067       15.756
     1.60     1.831     2.099     1.146     0.384     0.400     0.067       15.762
     1.61     1.831     2.099     1.146     0.384     0.400     0.067       15.768
     1.62     1.832     2.100     1.146     0.384     0.400     0.067       15.775
     1.63     1.832     2.101     1.147     0.384     0.400     0.067       15.781
     1.64     1.833     2.102     1.147     0.384     0.400     0.067       15.787
     1.65     1.833     2.102     1.147     0.384     0.400     0.067       15.793
     1.66     1.834     2.103     1.147     0.383     0.400     0.067       15.800
     1.67     1.834     2.104     1.147     0.383     0.400     0.067       15.806
     1.68     1.834     2.105     1.147     0.383     0.400     0.067       15.812
     1.69     1.835     2.105     1.147     0.383     0.400     0.067       15.819
     1.70     1.835     2.106     1.148     0.383     0.400     0.067       15.825
     1.71     1.836     2.107     1.148     0.383     0.400     0.067       15.832
     1.72     1.836     2.108     1.148     0.382     0.401     0.067       15.838
     1.73     1.837     2.109     1.148     0.382     0.401     0.067       15.844
     1.74     1.837     2.109     1.148     0.382     0.401     0.067       15.851
     1.75     1.838     2.110     1.148     0.382     0.401     0.067       15.857
     1.76     1.838     2.111     1.148     0.382     0.401     0.067       15.863
     1.77     1.839     2.112     1.149     0.381     0.401     0.067       15.870
     1.78     1.839     2.112     1.149     0.381     0.401     0.067       15.877
     1.79     1.839     2.113     1.149     0.381     0.401     0.067       15.883
     1.80     1.840     2.114     1.149     0.381     0.401     0.067       15.889
     1.81     1.840     2.115     1.149     0.381     0.401     0.067       15.896
     1.82     1.841     2.116     1.149     0.381     0.401     0.067       15.903
     1.83     1.841     2.116     1.149     0.380     0.401     0.067       15.909
     1.84     1.842     2.117     1.150     0.380     0.401     0.067       15.916
     1.85     1.842     2.118     1.150     0.380     0.402     0.067       15.922
     1.86     1.843     2.119     1.150     0.380     0.402     0.067       15.929
     1.87     1.843     2.120     1.150     0.380     0.402     0.067       15.936
     1.88     1.844     2.121     1.150     0.380     0.402     0.067       15.942
     1.89     1.844     2.121     1.150     0.379     0.402     0.067       15.949
     1.90     1.845     2.122     1.150     0.379     0.402     0.067       15.956
     1.91     1.845     2.123     1.151     0.379     0.402     0.067       15.963
     1.92     1.846     2.124     1.151     0.379     0.402     0.067       15.969
     1.93     1.846     2.125     1.151     0.379     0.402     0.067       15.976
     1.94     1.847     2.125     1.151     0.378     0.402     0.067       15.983
     1.95     1.847     2.126     1.151     0.378     0.402     0.067       15.990
     1.96     1.848     2.127     1.151     0.378     0.402     0.067       15.996
     1.97     1.848     2.128     1.151     0.378     0.402     0.067       16.003
     1.98     1.849     2.129     1.152     0.378     0.403     0.067       16.010
     1.99     1.849     2.130     1.152     0.378     0.403     0.067       16.017
     2.00     1.850     2.131     1.152     0.377     0.403     0.067       16.023
     2.01     1.850     2.131     1.152     0.377     0.403     0.067       16.030
     2.02     1.851     2.132     1.152     0.377     0.403     0.067       16.037
     2.03     1.851     2.133     1.152     0.377     0.403     0.067       16.044
     2.04     1.852     2.134     1.153     0.377     0.403     0.067       16.051
     2.05     1.852     2.135     1.153     0.376     0.403     0.067       16.058
     2.06     1.853     2.136     1.153     0.376     0.403     0.067       16.065
     2.07     1.853     2.137     1.153     0.376     0.403     0.067       16.072
     2.08     1.854     2.137     1.153     0.376     0.403     0.067       16.079
     2.09     1.854     2.138     1.153     0.376     0.403     0.067       16.086
     2.10     1.855     2.139     1.153     0.375     0.403     0.067       16.093
     2.11     1.855     2.140     1.154     0.375     0.404     0.067       16.100
     2.12     1.856     2.141     1.154     0.375     0.404     0.067       16.107
     2.13     1.856     2.142     1.154     0.375     0.404     0.067       16.114
     2.14     1.857     2.143     1.154     0.375     0.404     0.067       16.121
     2.15     1.857     2.144     1.154     0.374     0.404     0.067       16.129
     2.16     1.858     2.145     1.154     0.374     0.404     0.067       16.135
     2.17     1.858     2.145     1.155     0.374     0.404     0.067       16.143
     2.18     1.859     2.146     1.155     0.374     0.404     0.067       16.150
     2.19     1.859     2.147     1.155     0.374     0.404     0.067       16.157
     2.20     1.860     2.148     1.155     0.373     0.404     0.067       16.164
     2.21     1.860     2.149     1.155     0.373     0.404     0.067       16.172
     2.22     1.861     2.150     1.155     0.373     0.405     0.067       16.179
     2.23     1.861     2.151     1.156     0.373     0.405     0.067       16.186
     2.24     1.862     2.152     1.156     0.373     0.405     0.067       16.193
     2.25     1.862     2.153     1.156     0.372     0.405     0.067       16.201
     2.26     1.863     2.154     1.156     0.372     0.405     0.067       16.208
     2.27     1.863     2.154     1.156     0.372     0.405     0.067       16.216
     2.28     1.864     2.156     1.156     0.372     0.405     0.067       16.223
     2.29     1.865     2.156     1.156     0.372     0.405     0.067       16.230
     2.30     1.865     2.157     1.157     0.371     0.405     0.067       16.238
     2.31     1.866     2.158     1.157     0.371     0.405     0.067       16.245
     2.32     1.866     2.159     1.157     0.371     0.405     0.067       16.253
     2.33     1.867     2.160     1.157     0.371     0.405     0.067       16.260
     2.34     1.867     2.161     1.157     0.371     0.406     0.067       16.268
     2.35     1.868     2.162     1.157     0.370     0.406     0.067       16.275
     2.36     1.869     2.163     1.158     0.370     0.406     0.067       16.283
     2.37     1.869     2.164     1.158     0.370     0.406     0.067       16.290
     2.38     1.870     2.165     1.158     0.370     0.406     0.068       16.298
     2.39     1.870     2.166     1.158     0.370     0.406     0.068       16.306
     2.40     1.871     2.167     1.158     0.369     0.406     0.068       16.313
     2.41     1.871     2.168     1.158     0.369     0.406     0.068       16.321
     2.42     1.872     2.169     1.159     0.369     0.406     0.068       16.328
     2.43     1.872     2.170     1.159     0.369     0.406     0.068       16.336
     2.44     1.873     2.171     1.159     0.369     0.406     0.068       16.344
     2.45     1.874     2.172     1.159     0.368     0.407     0.068       16.352
     2.46     1.874     2.173     1.159     0.368     0.407     0.068       16.359
     2.47     1.875     2.174     1.159     0.368     0.407     0.068       16.367
     2.48     1.875     2.175     1.160     0.368     0.407     0.068       16.375
     2.49     1.876     2.176     1.160     0.367     0.407     0.068       16.383
     2.50     1.876     2.177     1.160     0.367     0.407     0.068       16.391
     2.51     1.877     2.178     1.160     0.367     0.407     0.068       16.399
     2.52     1.878     2.179     1.160     0.367     0.407     0.068       16.406
     2.53     1.878     2.180     1.161     0.367     0.407     0.068       16.414
     2.54     1.879     2.181     1.161     0.366     0.407     0.068       16.422
     2.55     1.879     2.182     1.161     0.366     0.407     0.068       16.430
     2.56     1.880     2.183     1.161     0.366     0.408     0.068       16.438
     2.57     1.881     2.184     1.161     0.366     0.408     0.068       16.446
     2.58     1.881     2.185     1.161     0.365     0.408     0.068       16.454
     2.59     1.882     2.186     1.162     0.365     0.408     0.068       16.462
     2.60     1.882     2.187     1.162     0.365     0.408     0.068       16.470
     2.61     1.883     2.188     1.162     0.365     0.408     0.068       16.478
     2.62     1.884     2.189     1.162     0.365     0.408     0.068       16.486
     2.63     1.884     2.190     1.162     0.364     0.408     0.068       16.495
     2.64     1.885     2.191     1.162     0.364     0.408     0.068       16.502
     2.65     1.885     2.192     1.163     0.364     0.408     0.068       16.511
     2.66     1.886     2.193     1.163     0.364     0.408     0.068       16.519
     2.67     1.887     2.194     1.163     0.363     0.409     0.068       16.527
     2.68     1.887     2.195     1.163     0.363     0.409     0.068       16.535
     2.69     1.888     2.196     1.163     0.363     0.409     0.068       16.544
     2.70     1.889     2.197     1.164     0.363     0.409     0.068       16.552
     2.71     1.889     2.198     1.164     0.363     0.409     0.068       16.561
     2.72     1.890     2.200     1.164     0.362     0.409     0.068       16.569
     2.73     1.890     2.201     1.164     0.362     0.409     0.068       16.577
     2.74     1.891     2.202     1.164     0.362     0.409     0.068       16.586
     2.75     1.892     2.203     1.164     0.362     0.409     0.068       16.594
     2.76     1.892     2.204     1.165     0.361     0.409     0.068       16.602
     2.77     1.893     2.205     1.165     0.361     0.410     0.068       16.611
     2.78     1.894     2.206     1.165     0.361     0.410     0.068       16.620
     2.79     1.894     2.207     1.165     0.361     0.410     0.068       16.628
     2.80     1.895     2.208     1.165     0.360     0.410     0.068       16.636
     2.81     1.896     2.209     1.166     0.360     0.410     0.068       16.645
     2.82     1.896     2.211     1.166     0.360     0.410     0.068       16.654
     2.83     1.897     2.212     1.166     0.360     0.410     0.068       16.663
     2.84     1.898     2.213     1.166     0.359     0.410     0.068       16.671
     2.85     1.898     2.214     1.166     0.359     0.410     0.068       16.680
     2.86     1.899     2.215     1.167     0.359     0.410     0.068       16.688
     2.87     1.899     2.216     1.167     0.359     0.411     0.068       16.697
     2.88     1.900     2.217     1.167     0.358     0.411     0.068       16.706
     2.89     1.901     2.218     1.167     0.358     0.411     0.068       16.715
     2.90     1.901     2.220     1.167     0.358     0.411     0.068       16.724
     2.91     1.902     2.221     1.168     0.358     0.411     0.068       16.733
     2.92     1.903     2.222     1.168     0.358     0.411     0.068       16.741
     2.93     1.903     2.223     1.168     0.357     0.411     0.068       16.750
     2.94     1.904     2.224     1.168     0.357     0.411     0.068       16.759
     2.95     1.905     2.225     1.168     0.357     0.411     0.068       16.768
     2.96     1.906     2.227     1.169     0.357     0.412     0.068       16.777
     2.97     1.906     2.228     1.169     0.356     0.412     0.068       16.786
     2.98     1.907     2.229     1.169     0.356     0.412     0.068       16.795
     2.99     1.908     2.230     1.169     0.356     0.412     0.068       16.804
     3.00     1.908     2.231     1.169     0.356     0.412     0.068       16.813
     3.01     1.909     2.233     1.170     0.355     0.412     0.068       16.822
     3.02     1.910     2.234     1.170     0.355     0.412     0.068       16.832
     3.03     1.910     2.235     1.170     0.355     0.412     0.068       16.841
     3.04     1.911     2.236     1.170     0.355     0.412     0.068       16.850
     3.05     1.912     2.237     1.170     0.354     0.412     0.068       16.859
     3.06     1.912     2.239     1.171     0.354     0.413     0.068       16.869
     3.07     1.913     2.240     1.171     0.354     0.413     0.068       16.878
     3.08     1.914     2.241     1.171     0.353     0.413     0.068       16.887
     3.09     1.915     2.242     1.171     0.353     0.413     0.068       16.897
     3.10     1.915     2.243     1.171     0.353     0.413     0.068       16.906
     3.11     1.916     2.245     1.172     0.353     0.413     0.068       16.916
     3.12     1.917     2.246     1.172     0.352     0.413     0.068       16.925
     3.13     1.917     2.247     1.172     0.352     0.413     0.068       16.934
     3.14     1.918     2.248     1.172     0.352     0.413     0.068       16.944
     3.15     1.919     2.250     1.172     0.352     0.414     0.068       16.954
     3.16     1.920     2.251     1.173     0.351     0.414     0.068       16.963
     3.17     1.920     2.252     1.173     0.351     0.414     0.068       16.973
     3.18     1.921     2.254     1.173     0.351     0.414     0.068       16.982
     3.19     1.922     2.255     1.173     0.351     0.414     0.068       16.992
     3.20     1.923     2.256     1.173     0.350     0.414     0.068       17.002
     3.21     1.923     2.257     1.174     0.350     0.414     0.068       17.012
