x,y,y_coordinate
16.4,0.483141892,3.0418787
16.5,0.478589527,3.01015963
16.6,0.474037162,2.978771309
16.7,0.469484797,2.947710289
16.8,0.464932432,2.916973156
16.9,0.460380068,2.886556533
17,0.455827703,2.856457079
17.1,0.451275338,2.826671485
17.2,0.446722973,2.797196479
17.3,0.442170608,2.768028823
17.4,0.437618243,2.739165312
17.5,0.433065878,2.710602774
17.6,0.428513514,2.68233807
17.7,0.423961149,2.654368095
17.8,0.419408784,2.626689777
17.9,0.414856419,2.599300073
18,0.410304054,2.572195974
18.1,0.405751689,2.545374501
18.2,0.401199324,2.518832709
18.3,0.396646959,2.49256768
18.4,0.392094595,2.466576529
18.5,0.38754223,2.440856399
18.6,0.382989865,2.415404465
18.7,0.3784375,2.390217931
18.8,0.373885135,2.365294027
18.9,0.36933277,2.340630017
19,0.364780405,2.31622319
19.1,0.360228041,2.292070864
19.2,0.355675676,2.268170385
19.3,0.351168919,2.244754852
19.4,0.347527027,2.22600957
19.5,0.343885135,2.207420824
19.6,0.340243243,2.188987307
19.7,0.336601351,2.170707723
19.8,0.332959459,2.152580786
19.9,0.329317568,2.134605222
20,0.325675676,2.116779767
20.1,0.322033784,2.099103167
20.2,0.318391892,2.081574178
20.3,0.31475,2.06419157
20.4,0.311108108,2.046954118
20.5,0.307466216,2.029860611
20.6,0.303824324,2.012909847
20.7,0.300182432,1.996100633
20.8,0.296540541,1.979431789
20.9,0.292898649,1.962902141
21,0.289256757,1.946510527
21.1,0.285614865,1.930255795
21.2,0.281972973,1.914136801
21.3,0.278331081,1.898152412
21.4,0.274689189,1.882301504
21.5,0.271047297,1.866582962
21.6,0.267405405,1.850995681
21.7,0.263763514,1.835538565
21.8,0.260121622,1.820210527
21.9,0.25647973,1.805010488
22,0.252837838,1.789937381
22.1,0.249195946,1.774990144
22.2,0.245554054,1.760167728
22.3,0.241912162,1.745469089
22.4,0.23827027,1.730893194
22.5,0.234628378,1.716439018
22.6,0.230986486,1.702105545
22.7,0.227344595,1.687891766
22.8,0.223702703,1.673796682
22.9,0.220060811,1.659819302
23,0.216418919,1.645958644
23.1,0.212777027,1.632213731
23.2,0.209135135,1.618583598
23.3,0.205493243,1.605067286
23.4,0.201851351,1.591663845
23.5,0.198209459,1.578372332
23.6,0.194567568,1.565191813
23.7,0.190925676,1.55212136
23.8,0.187283784,1.539160055
23.9,0.183641892,1.526306986
24,0.18,1.513561248
24.1,0.176358108,1.500921947
24.2,0.172716216,1.488388193
24.3,0.169074324,1.475959104
24.4,0.165432432,1.463633808
24.5,0.161790541,1.451411436
24.6,0.158148649,1.439291129
24.7,0.154506757,1.427272036
24.8,0.150864865,1.41535331
24.9,0.147222973,1.403534114
25,0.143581081,1.391813617
25.1,0.139939189,1.380190994
25.2,0.136297297,1.368665428
