x,y,y_coordinate
3.2,1.531165312,33.97545736
3.3,1.508341802,32.23604862
3.4,1.485518293,30.58569072
3.5,1.462694783,29.0198246
3.6,1.439871274,27.53412462
3.7,1.417047764,26.12448659
3.8,1.38197832,24.09785128
3.9,1.352947154,22.5396493
4,1.334688347,21.61167097
4.1,1.316429539,20.72189837
4.2,1.299514453,19.93032834
4.3,1.28429878,19.24415209
4.4,1.269083107,18.58160002
4.5,1.253867435,17.9418588
4.6,1.238651762,17.32414306
4.7,1.223436089,16.72769451
4.8,1.208220416,16.15178093
4.9,1.193004743,15.59569533
5,1.17778907,15.05875507
5.1,1.162573397,14.54030099
5.2,1.147357724,14.03969663
5.3,1.132142051,13.55632745
5.4,1.116926378,13.08960007
5.5,1.101075542,12.62047038
5.6,1.078252033,11.97435233
5.7,1.055428523,11.36131296
5.8,1.034180217,10.81882801
5.9,1.025050813,10.59377666
6,1.015921409,10.3734068
6.1,1.006792005,10.15762102
6.2,0.997662602,9.946323987
6.3,0.988533198,9.739422314
6.4,0.978590786,9.518988144
6.5,0.96489668,9.223519711
6.6,0.951202575,8.937222589
6.7,0.937508469,8.6598121
6.8,0.923814363,8.391012405
6.9,0.910120257,8.130556226
7,0.8975271,7.898181331
7.1,0.888397696,7.733884759
7.2,0.879268293,7.573005857
7.3,0.870138889,7.415473528
7.4,0.861009485,7.261218159
7.5,0.851880081,7.110171583
7.6,0.841824752,6.947439149
7.7,0.829652213,6.75541779
7.8,0.817479675,6.568703739
7.9,0.805307136,6.387150307
8,0.793134598,6.210614859
8.1,0.781609925,6.047974139
8.2,0.770198171,5.89112409
8.3,0.758786416,5.738341838
8.4,0.747374661,5.589521889
8.5,0.735962907,5.444561484
8.6,0.724551152,5.303360526
8.7,0.717314533,5.215723168
8.8,0.71046748,5.134137312
8.9,0.703620427,5.053827646
9,0.696773374,4.974774207
9.1,0.689926321,4.896957345
9.2,0.683079268,4.820357717
9.3,0.676976061,4.753090259
9.4,0.670889792,4.686944299
9.5,0.664803523,4.621718853
9.6,0.658717254,4.557401111
9.7,0.652630985,4.493978441
9.8,0.646544715,4.431438387
9.9,0.640458446,4.369768667
10,0.634372177,4.308957167
10.1,0.628065718,4.246838229
10.2,0.618936314,4.158496252
10.3,0.609806911,4.071991948
10.4,0.600677507,3.987287092
10.5,0.591548103,3.904344251
10.6,0.582418699,3.823126772
10.7,0.57349537,3.745375544
10.8,0.565887534,3.680336543
10.9,0.558279697,3.616426953
11,0.550671861,3.553627163
11.1,0.543064024,3.491917901
11.2,0.535456188,3.431280229
11.3,0.527848351,3.37169554
11.4,0.520240515,3.313145547
11.5,0.512632678,3.255612283
11.6,0.505374887,3.201657618
11.7,0.499288618,3.157102033
11.8,0.493202349,3.113166502
11.9,0.487116079,3.069842395
12,0.48102981,3.027121205
12.1,0.474943541,2.98499454
12.2,0.468857272,2.943454128
12.3,0.462771003,2.902491808
12.4,0.456684734,2.862099538
12.5,0.450104449,2.819060841
12.6,0.442496612,2.770107432
12.7,0.434888776,2.722004106
12.8,0.427280939,2.674736101
12.9,0.419673103,2.628288913
13,0.412065266,2.582648286
13.1,0.40445743,2.537800216
13.2,0.396849593,2.493730939
13.3,0.389241757,2.450426932
13.4,0.382909892,2.414959721
13.5,0.37834519,2.389709938
13.6,0.373780488,2.364724156
13.7,0.369215786,2.339999615
13.8,0.364651084,2.315533583
13.9,0.360086382,2.291323357
14,0.35552168,2.267366262
14.1,0.350956978,2.243659653
14.2,0.346392276,2.220200911
14.3,0.341045619,2.193035282
14.4,0.33495935,2.162516101
14.5,0.32887308,2.132421636
14.6,0.322786811,2.102745979
14.7,0.316700542,2.073483301
14.8,0.310614273,2.044627854
14.9,0.304528004,2.016173971
15,0.298441734,1.988116064
15.1,0.292355465,1.960448622
15.2,0.28688648,1.93591587
15.3,0.281814589,1.913438856
15.4,0.276742698,1.891222813
15.5,0.271670807,1.86926471
15.6,0.266598916,1.847561552
15.7,0.261527025,1.82611038
15.8,0.256455134,1.804908266
15.9,0.251383243,1.783952321
16,0.246311352,1.763239685
16.1,0.241239461,1.742767535
16.2,0.23616757,1.722533076
16.3,0.231095679,1.702533551
16.4,0.226023788,1.68276623
16.5,0.221460027,1.665175556
16.6,0.218416893,1.653548328
16.7,0.215373758,1.642002288
16.8,0.212330623,1.630536869
16.9,0.209287489,1.619151508
17,0.206244354,1.607845647
17.1,0.20320122,1.596618729
17.2,0.200158085,1.585470205
17.3,0.19711495,1.574399526
17.4,0.193546748,1.561517112
17.5,0.188982046,1.545190559
17.6,0.184417344,1.52903471
17.7,0.179852642,1.513047779
17.8,0.17528794,1.497228
17.9,0.170723238,1.481573626
18,0.166158537,1.466082928
18.1,0.161593835,1.450754194
18.2,0.157029133,1.43558573
18.3,0.151260163,1.41664216
18.4,0.14395664,1.393017716
18.5,0.136653117,1.369787241
18.6,0.129349593,1.346944166
18.7,0.12204607,1.32448203
18.8,0.114742547,1.302394482
18.9,0.107439024,1.280675273
19,0.100222609,1.259570873
19.1,0.097614208,1.252028481
19.2,0.095005807,1.244531253
19.3,0.092397406,1.237078919
19.4,0.089789005,1.22967121
19.5,0.087180604,1.222307858
19.6,0.084572203,1.214988599
19.7,0.081963802,1.207713169
19.8,0.079355401,1.200481304
19.9,0.076747,1.193292743
20,0.074138599,1.186147229
20.1,0.070873984,1.177264325
20.2,0.067222222,1.167406809
20.3,0.063570461,1.157631833
20.4,0.059918699,1.147938705
20.5,0.056266938,1.13832674
20.6,0.052615176,1.128795258
20.7,0.048963415,1.119343585
20.8,0.045438121,1.110294328
20.9,0.042394986,1.102541604
21,0.039351852,1.094843015
21.1,0.036308717,1.087198181
21.2,0.033265583,1.079606729
21.3,0.030222448,1.072068284
21.4,0.027179313,1.064582477
21.5,0.024136179,1.05714894
21.6,0.021093044,1.049767309
21.7,0.017865854,1.041995525
21.8,0.014214092,1.033270647
21.9,0.010562331,1.024618825
22,0.006910569,1.016039446
22.1,0.003258808,1.007531905
22.2,-0.000392954,0.999095599
22.3,-0.004044715,0.990729933
22.4,-0.007696477,0.982434314
22.5,-0.010428765,0.976272902
22.6,-0.013037166,0.970426916
22.7,-0.015645567,0.964615937
22.8,-0.018253968,0.958839754
22.9,-0.020862369,0.953098159
23,-0.02347077,0.947390945
23.1,-0.026079172,0.941717907
23.2,-0.028687573,0.936078838
23.3,-0.031295974,0.930473537
23.4,-0.033904375,0.924901801
23.5,-0.037474593,0.917329598
23.6,-0.042039295,0.907738393
23.7,-0.046603997,0.89824747
23.8,-0.051168699,0.88885578
23.9,-0.055733401,0.879562285
24,-0.060298103,0.870365959
24.1,-0.064862805,0.861265786
24.2,-0.069427507,0.85226076
24.3,-0.073992209,0.843349887
24.4,-0.076772809,0.83796753
24.5,-0.078294377,0.835036816
24.6,-0.079815944,0.832116351
24.7,-0.081337511,0.829206101
24.8,-0.082859079,0.826306029
24.9,-0.084380646,0.8234161
25,-0.085902213,0.820536277
25.1,-0.08742378,0.817666527
25.2,-0.088945348,0.814806814
25.3,-0.092538957,0.808092439
25.4,-0.097103659,0.799643371
25.5,-0.10166836,0.791282643
25.6,-0.106233062,0.783009331
25.7,-0.110797764,0.774822522
25.8,-0.115362466,0.76672131
25.9,-0.119927168,0.758704801
26,-0.12449187,0.750772109
26.1,-0.129056572,0.742922357
26.2,-0.132104142,0.737727304
26.3,-0.134712544,0.733309745
26.4,-0.137320945,0.728918639
26.5,-0.139929346,0.724553826
26.6,-0.142537747,0.720215151
26.7,-0.145146148,0.715902456
26.8,-0.147754549,0.711615585
26.9,-0.15036295,0.707354385
27,-0.152971351,0.703118701
27.1,-0.155579752,0.69890838
27.2,-0.15850271,0.69422027
27.3,-0.161926236,0.688769272
27.4,-0.165349763,0.683361075
27.5,-0.168773289,0.677995343
27.6,-0.172196816,0.672671742
27.7,-0.175620342,0.667389943
27.8,-0.179043869,0.662149616
27.9,-0.182467395,0.656950436
28,-0.185890921,0.651792079
28.1,-0.189314448,0.646674226
28.2,-0.192737974,0.641596559
28.3,-0.196161501,0.63655876
28.4,-0.199000678,0.632410865
28.5,-0.201283028,0.629096069
28.6,-0.203565379,0.625798648
28.7,-0.20584773,0.622518511
28.8,-0.208130081,0.619255566
28.9,-0.210412432,0.616009724
29,-0.212694783,0.612780895
29.1,-0.214977134,0.609568991
29.2,-0.217259485,0.606373921
29.3,-0.219541836,0.603195599
29.4,-0.221824187,0.600033935
29.5,-0.224106538,0.596888844
29.6,-0.226874435,0.593096778
29.7,-0.22991757,0.58895543
