x,y,y_coordinate
1.1,2.213329946,163.4293095
1.2,2.170562331,148.1024799
1.3,2.147738821,140.52022
1.4,2.124915312,133.3261418
1.5,2.102811653,126.7102224
1.6,2.084552846,121.4934446
1.7,2.066294038,116.4914465
1.8,2.041124661,109.9321347
1.9,1.986348238,96.905458
2,1.957317073,90.63941068
2.1,1.939058266,86.90770181
2.2,1.920799458,83.32963087
2.3,1.90254065,79.89887243
2.4,1.884281843,76.60936152
2.5,1.866023035,73.45528282
2.6,1.840752033,69.30299963
2.7,1.810772358,64.68034947
2.8,1.774254743,59.46408527
2.9,1.757204155,57.17473434
3,1.745031617,55.5944729
3.1,1.732859079,54.05788855
3.2,1.72068654,52.5637741
3.3,1.707986111,51.04886741
3.4,1.694292005,49.46431571
3.5,1.6805979,47.92894833
3.6,1.666903794,46.44123861
3.7,1.653209688,44.99970724
3.8,1.639515583,43.60292086
3.9,1.625821477,42.24949059
4,1.612127371,40.93807066
4.1,1.598433266,39.66735707
4.2,1.586754743,38.61488471
4.3,1.577625339,37.81162471
4.4,1.568495935,37.02507398
4.5,1.559366531,36.25488494
4.6,1.550237127,35.50071724
4.7,1.541107724,34.76223759
4.8,1.53197832,34.03911968
4.9,1.522911021,33.33581066
5,1.516824752,32.8718958
5.1,1.510738482,32.41443697
5.2,1.504652213,31.96334432
5.3,1.498565944,31.51852926
5.4,1.489456301,30.8642907
5.5,1.478044546,30.06384655
5.6,1.466632791,29.28416137
5.7,1.455221037,28.52469678
5.8,1.443809282,27.78492839
5.9,1.432397527,27.06434538
6,1.422425474,26.44998769
6.1,1.41329607,25.89977972
6.2,1.404166667,25.36101709
6.3,1.395037263,24.8334617
6.4,1.385907859,24.31688042
6.5,1.376778455,23.81104497
6.6,1.367649051,23.31573183
6.7,1.359955115,22.90630901
6.8,1.357672764,22.78624508
6.9,1.355390413,22.66681047
7,1.353108062,22.54800188
7.1,1.350825711,22.42981602
7.2,1.34854336,22.31224964
7.3,1.344891599,22.12542384
7.4,1.337588076,21.75645215
7.5,1.330284553,21.39363357
7.6,1.32298103,21.03686548
7.7,1.315677507,20.68604698
7.8,1.308373984,20.34107887
7.9,1.301070461,20.00186357
8,1.293766938,19.66830515
8.1,1.288018293,19.4096763
8.2,1.28254065,19.16640454
8.3,1.277063008,18.92618183
8.4,1.271585366,18.68896996
8.5,1.266107724,18.45473119
8.6,1.260630081,18.22342825
8.7,1.255152439,17.99502437
8.8,1.250067751,17.78556846
8.9,1.245503049,17.59961019
9,1.240938347,17.41559621
9.1,1.236373645,17.23350621
9.2,1.231808943,17.05332006
9.3,1.227244241,16.87501786
9.4,1.222679539,16.69857991
9.5,1.218114837,16.52398672
9.6,1.213550136,16.35121901
9.7,1.208643051,16.16750674
9.8,1.203426249,15.97446229
9.9,1.198209446,15.78372285
10,1.192992644,15.59526088
10.1,1.187775842,15.40904921
10.2,1.18255904,15.22506095
10.3,1.177342238,15.04326956
10.4,1.172125436,14.86364881
10.5,1.166908633,14.68617278
10.6,1.161691831,14.51081587
10.7,1.156872459,14.3506793
10.8,1.154590108,14.2754599
10.9,1.152307757,14.20063476
11,1.150025407,14.12620181
11.1,1.147743056,14.05215901
11.2,1.145460705,13.97850431
11.3,1.143178354,13.90523567
11.4,1.140896003,13.83235106
11.5,1.138613652,13.75984849
11.6,1.136331301,13.68772593
11.7,1.13404895,13.61598141
11.8,1.131766599,13.54461294
11.9,1.128887195,13.45510822
12,1.124322493,13.31442738
12.1,1.119757791,13.17521744
12.2,1.115193089,13.03746302
12.3,1.110628388,12.90114889
12.4,1.106063686,12.76626002
12.5,1.101498984,12.63278148
12.6,1.096934282,12.50069853
12.7,1.09236958,12.36999659
12.8,1.087804878,12.24066121
12.9,1.083240176,12.11267811
13,1.078675474,11.98603314
13.1,1.073756775,11.85104849
13.2,1.068279133,11.70251301
13.3,1.062801491,11.55583921
13.4,1.057323848,11.41100375
13.5,1.051846206,11.26798359
13.6,1.046368564,11.12675598
13.7,1.040890921,10.98729845
13.8,1.035413279,10.84958881
13.9,1.033269347,10.79616085
14,1.03124059,10.74584545
14.1,1.029211834,10.69576454
14.2,1.027183077,10.64591704
14.3,1.025154321,10.59630184
14.4,1.023125565,10.54691788
14.5,1.021096808,10.49776407
14.6,1.019068052,10.44883935
14.7,1.017039295,10.40014263
14.8,1.015010539,10.35167287
14.9,1.012981783,10.303429
15,1.010953026,10.25540997
15.1,1.00892427,10.20761473
15.2,1.006278229,10.14561153
15.3,1.003235095,10.07476895
15.4,1.00019196,10.00442103
15.5,0.997148826,9.934564315
15.6,0.994105691,9.865195384
15.7,0.991062556,9.796310828
15.8,0.988019422,9.727907265
15.9,0.984976287,9.659981335
16,0.981933153,9.592529703
16.1,0.978890018,9.525549058
16.2,0.975846883,9.459036112
