400-2-202110291423	D/p = 2.797e-11 Grey
400-4-202110291423	D/p = 2.35546e-11 Grey
400-6-202110291423	D/p = 2.08814e-11 Grey
400-8-202110291423	D/p = 1.95851e-11 Grey
400-10-202110291423	D/p = 1.83733e-11 Grey
400-12-202110291423	D/p = 1.76558e-11 Grey
350-2-202110291423	D/p = 3.38375e-11 Grey
350-4-202110291423	D/p = 2.74583e-11 Grey
350-6-202110291423	D/p = 2.42485e-11 Grey
350-8-202110291423	D/p = 2.2847e-11 Grey
350-10-202110291423	D/p = 2.12405e-11 Grey
350-12-202110291423	D/p = 2.0269e-11 Grey
300-2-202110291423	D/p = 3.98605e-11 Grey
300-4-202110291423	D/p = 3.19442e-11 Grey
300-6-202110291423	D/p = 2.82846e-11 Grey
300-8-202110291423	D/p = 2.5932e-11 Grey
300-10-202110291423	D/p = 2.42185e-11 Grey
300-12-202110291423	D/p = 2.28528e-11 Grey
250-2-202110291423	D/p = 4.6949e-11 Grey
250-4-202110291423	D/p = 3.61758e-11 Grey
250-6-202110291423	D/p = 3.22786e-11 Grey
250-8-202110291423	D/p = 2.89178e-11 Grey
250-10-202110291423	D/p = 2.70814e-11 Grey
250-12-202110291423	D/p = 2.57151e-11 Grey
200-2-202110291423	D/p = 5.31969e-11 Grey
200-4-202110291423	D/p = 4.10919e-11 Grey
200-6-202110291423	D/p = 3.56716e-11 Grey
200-8-202110291423	D/p = 3.20975e-11 Grey
165-2-202110291423	D/p = 5.46708e-11 Grey
165-4-202110291423	D/p = 4.36316e-11 Grey
165-6-202110291423	D/p = 3.69449e-11 Grey









