energy(MeV)	factor(pSv cm2)
1e-9	6.60
1e-8	9.00
1e-7	12.9
2e-7	13.5
5e-7	13.6
1e-6	13.3
2e-6	12.9
5e-6	12.0
1e-5	11.3
2e-5	10.6
5e-5	9.90
1e-4	9.40
2e-4	8.90
5e-4	8.30
1e-3	7.90
2e-3	7.70
5e-3	8.00
1e-2	10.5
2e-2	16.6
3e-2	23.7
5e-2	41.1
7e-2	60.0
1e-1	88.0
1.5e-1	132
2e-1	170	
3e-1	233
5e-1	322
7e-1	375
9e-1	400
1	416
1.2	425
2	420
3	412
4	408
5	405
6	400
7	405
8	409
9	420
1e1	440
1.2e1	480
1.4e1	520
1.5e1	540
1.6e1	555
1.8e1	570
2e1	600
3e1	515
5e1	400
7.5e1	330
1e2	285
1.25e2	260
1.5e2	245
1.75e2	250
2.01e2	260
