location	energy(MeV/u)	SOBP_width(cm)	aperture_size(mm)	dose_EQ_min-15(pSv/ion)	dose_EQ_15-max(pSv/ion)
0	400	6	0	0.215527	0.0647728
0	400	6	30	0.200294	0.0633002
0	400	6	60	0.159824	0.057739
0	400	6	90	0.106823	0.0481335
0	400	6	120	0.0502029	0.0342041
0	400	6	150	0.00802103	0.0157293
1	400	6	0	0.118428	0.0372797
1	400	6	30	0.109864	0.0367119
1	400	6	60	0.0877386	0.0343502
1	400	6	90	0.0581088	0.0297325
1	400	6	120	0.0269366	0.0223248
1	400	6	150	0.00447457	0.012282
2	400	6	0	0.0747379	0.0242042
2	400	6	30	0.06929	0.0241559
2	400	6	60	0.0553902	0.0232623
2	400	6	90	0.0364895	0.0208801
2	400	6	120	0.0167542	0.0165763
2	400	6	150	0.00294452	0.0104813
3	400	6	0	0.0374133	0.012531
3	400	6	30	0.0346802	0.0127397
3	400	6	60	0.0277604	0.0130201
3	400	6	90	0.0183355	0.0127331
3	400	6	120	0.00855533	0.0115036
3	400	6	150	0.00171723	0.00878019
4	400	6	0	0.02235	0.0076294
4	400	6	30	0.0208095	0.0079316
4	400	6	60	0.0166712	0.00867331
4	400	6	90	0.0110652	0.00922902
4	400	6	120	0.00523891	0.00894601
4	400	6	150	0.00127984	0.00795729
5	400	6	0	0.0147071	0.0051738
5	400	6	30	0.0138203	0.00544239
5	400	6	60	0.0111077	0.00631628
5	400	6	90	0.00741209	0.00732144
5	400	6	120	0.00364438	0.00775809
5	400	6	150	0.0010774	0.00731533
6	400	6	0	0.130414	0.0370645
6	400	6	30	0.122613	0.0359209
6	400	6	60	0.0992087	0.0319721
6	400	6	90	0.0668716	0.0254924
6	400	6	120	0.0319737	0.0169428
6	400	6	150	0.00476032	0.00619879
7	400	6	0	0.081925	0.0208625
7	400	6	30	0.0780146	0.0205108
7	400	6	60	0.0639857	0.0183626
7	400	6	90	0.0439508	0.0147845
7	400	6	120	0.0215984	0.0100309
7	400	6	150	0.00334102	0.00369859
8	400	6	0	0.038539	0.00857221
8	400	6	30	0.0371912	0.00834225
8	400	6	60	0.0312605	0.00758769
8	400	6	90	0.0219495	0.00626825
8	400	6	120	0.0112261	0.00411397
8	400	6	150	0.00183346	0.00147952
9	400	6	0	0.0216513	0.00451303
9	400	6	30	0.0209189	0.00441269
9	400	6	60	0.018049	0.00400911
9	400	6	90	0.0129178	0.00335634
9	400	6	120	0.00674655	0.00224763
9	400	6	150	0.00111569	0.00082973
10	400	6	0	0.0137778	0.00277044
10	400	6	30	0.0134548	0.00272191
10	400	6	60	0.0115227	0.00252581
10	400	6	90	0.00832305	0.00213023
10	400	6	120	0.00443337	0.00145967
10	400	6	150	0.000776128	0.000539145
11	400	6	0	0.179802	0.0434391
11	400	6	30	0.171578	0.0426267
11	400	6	60	0.140918	0.0382784
11	400	6	90	0.097708	0.0309741
11	400	6	120	0.048819	0.0206928
11	400	6	150	0.00755823	0.00688111
12	400	6	0	0.115472	0.021648
12	400	6	30	0.113358	0.0215557
12	400	6	60	0.0983076	0.020079
12	400	6	90	0.0715595	0.0168836
12	400	6	120	0.0381622	0.0112275
12	400	6	150	0.00633772	0.00351817
13	400	6	0	0.0417132	0.00626046
13	400	6	30	0.0410504	0.00633865
13	400	6	60	0.0398486	0.00639087
13	400	6	90	0.0333529	0.00589715
13	400	6	120	0.019545	0.00417474
13	400	6	150	0.0035729	0.00135633
14	400	6	0	0.0181393	0.00264456
14	400	6	30	0.017865	0.00257077
14	400	6	60	0.0171671	0.00256987
14	400	6	90	0.015551	0.00251151
14	400	6	120	0.0104023	0.00200135
14	400	6	150	0.00193619	0.00072597
15	400	6	0	0.00953737	0.00143457
15	400	6	30	0.00948229	0.00138404
15	400	6	60	0.00890754	0.00131355
15	400	6	90	0.0079001	0.00120262
15	400	6	120	0.0053332	0.000945352
15	400	6	150	0.00110005	0.000424739
