type	location	energy(MeV/u)	SOBP_width(cm)	aperture_size(mm)	dose_EQ_min-15(pSv/ion)	dose_EQ_15-max(pSv/ion)
Alloy	0	300	6	50	0.738718	0.260664
Iron	0	300	6	50	0.143622	0.283208
Alloy	1	300	6	50	0.405412	0.156701
Iron	1	300	6	50	0.0790951	0.173016
Alloy	2	300	6	50	0.25604	0.105875
Iron	2	300	6	50	0.0501635	0.11797
Alloy	3	300	6	50	0.12901	0.0603214
Iron	3	300	6	50	0.0256439	0.0678044
Alloy	4	300	6	50	0.0777607	0.0398373
Iron	4	300	6	50	0.0161205	0.0458438
Alloy	5	300	6	50	0.0517395	0.0298209
Iron	5	300	6	50	0.011152	0.0341834
Alloy	6	300	6	50	0.459009	0.152228
Iron	6	300	6	50	0.0895084	0.158438
Alloy	7	300	6	50	0.295708	0.0910472
Iron	7	300	6	50	0.0613464	0.0921316
Alloy	8	300	6	50	0.144768	0.0394148
Iron	8	300	6	50	0.0317225	0.0389043
Alloy	9	300	6	50	0.083343	0.0212738
Iron	9	300	6	50	0.0189052	0.0215543
Alloy	10	300	6	50	0.0529537	0.0133005
Iron	10	300	6	50	0.0124808	0.0132087
Alloy	11	300	6	50	0.649961	0.186465
Iron	11	300	6	50	0.133701	0.185681
Alloy	12	300	6	50	0.453564	0.0999159
Iron	12	300	6	50	0.100639	0.0981502
Alloy	13	300	6	50	0.17761	0.0313273
Iron	13	300	6	50	0.0492567	0.0341715
Alloy	14	300	6	50	0.0779022	0.0136304
Iron	14	300	6	50	0.0268379	0.0166784
Alloy	15	300	6	50	0.0410284	0.00740483
Iron	15	300	6	50	0.0161837	0.0089047
