type	location	energy(MeV/u)	SOBP_width(cm)	aperture_size(mm)	dose_EQ_min-15(pSv/ion)	dose_EQ_15-max(pSv/ion)
Alloy	0	300	6	50	0.738718	0.260664
FLC	0	300	6	50	0.0789521	0.118316
Alloy	1	300	6	50	0.405412	0.156701
FLC	1	300	6	50	0.0479802	0.0759769
Alloy	2	300	6	50	0.25604	0.105875
FLC	2	300	6	50	0.0322706	0.0547743
Alloy	3	300	6	50	0.12901	0.0603214
FLC	3	300	6	50	0.018137	0.0346736
Alloy	4	300	6	50	0.0777607	0.0398373
FLC	4	300	6	50	0.0117791	0.0250305
Alloy	5	300	6	50	0.0517395	0.0298209
FLC	5	300	6	50	0.00832842	0.0197883
Alloy	6	300	6	50	0.459009	0.152228
FLC	6	300	6	50	0.0578754	0.0655115
Alloy	7	300	6	50	0.295708	0.0910472
FLC	7	300	6	50	0.0414931	0.0463417
Alloy	8	300	6	50	0.144768	0.0394148
FLC	8	300	6	50	0.0243128	0.0224585
Alloy	9	300	6	50	0.083343	0.0212738
FLC	9	300	6	50	0.0154868	0.0127895
Alloy	10	300	6	50	0.0529537	0.0133005
FLC	10	300	6	50	0.0106926	0.00824725
Alloy	11	300	6	50	0.649961	0.186465
FLC	11	300	6	50	0.0806236	0.077814
Alloy	12	300	6	50	0.453564	0.0999159
FLC	12	300	6	50	0.0704746	0.0527965
Alloy	13	300	6	50	0.17761	0.0313273
FLC	13	300	6	50	0.0479191	0.0256414
Alloy	14	300	6	50	0.0779022	0.0136304
FLC	14	300	6	50	0.0305109	0.0135499
Alloy	15	300	6	50	0.0410284	0.00740483
FLC	15	300	6	50	0.0202528	0.00821084

