type	location	energy(MeV/u)	SOBP_width(cm)	aperture_size(mm)	dose_EQ_min-15(pSv/ion)	dose_EQ_15-max(pSv/ion)
Alloy	0	300	6	50	0.738718	0.260664
FLC_1	0	300	6	50	0.0864307	0.119011
Alloy	1	300	6	50	0.405412	0.156701
FLC_1	1	300	6	50	0.0517564	0.0765687
Alloy	2	300	6	50	0.25604	0.105875
FLC_1	2	300	6	50	0.0349916	0.0552298
Alloy	3	300	6	50	0.12901	0.0603214
FLC_1	3	300	6	50	0.0194525	0.0350231
Alloy	4	300	6	50	0.0777607	0.0398373
FLC_1	4	300	6	50	0.0127139	0.0255678
Alloy	5	300	6	50	0.0517395	0.0298209
FLC_1	5	300	6	50	0.00904667	0.0204177
Alloy	6	300	6	50	0.459009	0.152228
FLC_1	6	300	6	50	0.0626859	0.0655971
Alloy	7	300	6	50	0.295708	0.0910472
FLC_1	7	300	6	50	0.0455742	0.0456472
Alloy	8	300	6	50	0.144768	0.0394148
FLC_1	8	300	6	50	0.0296875	0.0302379
Alloy	9	300	6	50	0.083343	0.0212738
FLC_1	9	300	6	50	0.0192747	0.0168293
Alloy	10	300	6	50	0.0529537	0.0133005
FLC_1	10	300	6	50	0.0132869	0.0106796
Alloy	11	300	6	50	0.649961	0.186465
FLC_1	11	300	6	50	0.0899165	0.0796459
Alloy	12	300	6	50	0.453564	0.0999159
FLC_1	12	300	6	50	0.092392	0.0732045
Alloy	13	300	6	50	0.17761	0.0313273
FLC_1	13	300	6	50	0.0583399	0.0284232
Alloy	14	300	6	50	0.0779022	0.0136304
FLC_1	14	300	6	50	0.035441	0.0146245
Alloy	15	300	6	50	0.0410284	0.00740483
FLC_1	15	300	6	50	0.0228677	0.00861314
