location	energy(MeV/u)	SOBP_width(cm)	aperture_size(mm)	dose_EQ_min-15(pSv/ion)	dose_EQ_15-max(pSv/ion)
0	400	2	0	0.24219	0.0724853
0	400	4	0	0.228143	0.0684037
0	400	6	0	0.215443	0.0649401
0	400	8	0	0.20378	0.0615253
0	400	10	0	0.193578	0.0587655
0	400	12	0	0.184928	0.0560485
1	400	2	0	0.132873	0.0415947
1	400	4	0	0.125273	0.0393158
1	400	6	0	0.118444	0.0373481
1	400	8	0	0.111868	0.03558
1	400	10	0	0.106332	0.033983
1	400	12	0	0.101484	0.0323405
2	400	2	0	0.0836924	0.0269213
2	400	4	0	0.0792098	0.0255035
2	400	6	0	0.0745935	0.0242777
2	400	8	0	0.0704739	0.0231341
2	400	10	0	0.0669258	0.0221192
2	400	12	0	0.0640375	0.0211633
3	400	2	0	0.0418906	0.0139714
3	400	4	0	0.0397151	0.0132121
3	400	6	0	0.0373026	0.0126121
3	400	8	0	0.0353834	0.0120168
3	400	10	0	0.0336145	0.0115959
3	400	12	0	0.0321309	0.0110297
4	400	2	0	0.0250631	0.00852623
4	400	4	0	0.0236427	0.00808669
4	400	6	0	0.0222598	0.00770252
4	400	8	0	0.021083	0.00735292
4	400	10	0	0.0200839	0.00706613
4	400	12	0	0.0191806	0.00677221
5	400	2	0	0.0166006	0.00575397
5	400	4	0	0.0156547	0.00541048
5	400	6	0	0.0147704	0.00521948
5	400	8	0	0.0139981	0.00495833
5	400	10	0	0.0133353	0.00476655
5	400	12	0	0.0126937	0.00460337
6	400	2	0	0.14631	0.040079
6	400	4	0	0.137757	0.0383882
6	400	6	0	0.130073	0.0368944
6	400	8	0	0.123179	0.0356645
6	400	10	0	0.117337	0.0344225
6	400	12	0	0.111886	0.033544
7	400	2	0	0.0919116	0.0222976
7	400	4	0	0.0866547	0.0215698
7	400	6	0	0.0818546	0.021033
7	400	8	0	0.0775237	0.0202386
7	400	10	0	0.0737314	0.0197585
7	400	12	0	0.0702427	0.0194056
8	400	2	0	0.0430408	0.00909776
8	400	4	0	0.0407379	0.0087086
8	400	6	0	0.0384471	0.00845856
8	400	8	0	0.0363654	0.0082527
8	400	10	0	0.0347538	0.00816558
8	400	12	0	0.0330819	0.00783962
9	400	2	0	0.0241623	0.00478202
9	400	4	0	0.0228719	0.00463395
9	400	6	0	0.021713	0.00444756
9	400	8	0	0.0203903	0.00445732
9	400	10	0	0.0195422	0.00428883
9	400	12	0	0.0186304	0.00424182
10	400	2	0	0.0153147	0.00288616
10	400	4	0	0.0144831	0.00278743
10	400	6	0	0.0138885	0.00272321
10	400	8	0	0.0130147	0.00269912
10	400	10	0	0.0123643	0.002573
10	400	12	0	0.011842	0.00256499
11	400	2	0	0.20148	0.0471577
11	400	4	0	0.190076	0.0452178
11	400	6	0	0.179413	0.0437202
11	400	8	0	0.169654	0.0421662
11	400	10	0	0.161499	0.0409016
11	400	12	0	0.154246	0.0395114
12	400	2	0	0.129413	0.0233027
12	400	4	0	0.12228	0.0223908
12	400	6	0	0.115858	0.0217185
12	400	8	0	0.109525	0.0210319
12	400	10	0	0.103934	0.020377
12	400	12	0	0.0996731	0.019643
13	400	2	0	0.0463742	0.00665081
13	400	4	0	0.0439652	0.00642739
13	400	6	0	0.0414999	0.00620514
13	400	8	0	0.0395593	0.00608024
13	400	10	0	0.0377312	0.00598338
13	400	12	0	0.0360128	0.00586812
14	400	2	0	0.0199167	0.00267146
14	400	4	0	0.0190542	0.00264454
14	400	6	0	0.0180979	0.0026014
14	400	8	0	0.0170899	0.00259729
14	400	10	0	0.0163592	0.00260028
14	400	12	0	0.0156931	0.00253192
15	400	2	0	0.0105401	0.00139198
15	400	4	0	0.00993209	0.00137652
15	400	6	0	0.00950882	0.00142365
15	400	8	0	0.00902568	0.00140272
15	400	10	0	0.00872822	0.00140413
15	400	12	0	0.00833217	0.0013762
