location	energy(MeV/u)	SOBP_width(cm)	aperture_size(mm)	dose_EQ_min-15(pSv/ion)	dose_EQ_15-max(pSv/ion)
0	400	6	0	0.21503	0.0647906
0	350	6	0	0.14648	0.0435891
0	300	6	0	0.0911389	0.0268534
0	250	6	0	0.0498869	0.0146988
0	200	6	0	0.0224664	0.00648519
0	165	6	0	0.0105337	0.00297545
1	400	6	0	0.118034	0.0373225
1	350	6	0	0.0805665	0.0250927
1	300	6	0	0.0501727	0.0153956
1	250	6	0	0.0274254	0.00845337
1	200	6	0	0.0123826	0.003777
1	165	6	0	0.00579395	0.00177897
2	400	6	0	0.0744393	0.0242162
2	350	6	0	0.0509122	0.0163256
2	300	6	0	0.0316603	0.0100214
2	250	6	0	0.0172799	0.00548647
2	200	6	0	0.00779543	0.00251032
2	165	6	0	0.00363693	0.00116946
3	400	6	0	0.0372228	0.0125423
3	350	6	0	0.0255238	0.00848373
3	300	6	0	0.0159038	0.00519887
3	250	6	0	0.008669	0.00289139
3	200	6	0	0.00395164	0.00133914
3	165	6	0	0.00182209	0.000614092
4	400	6	0	0.0223127	0.0076574
4	350	6	0	0.0152797	0.00517203
4	300	6	0	0.00947445	0.00318104
4	250	6	0	0.00521557	0.00177103
4	200	6	0	0.00236662	0.000817897
4	165	6	0	0.00110733	0.000385354
5	400	6	0	0.0148059	0.0051586
5	350	6	0	0.0100553	0.00349128
5	300	6	0	0.00623493	0.00212745
5	250	6	0	0.00349279	0.00120617
5	200	6	0	0.00158711	0.000551202
5	165	6	0	0.000744199	0.000281527
6	400	6	0	0.130276	0.0370501
6	350	6	0	0.0883482	0.0257088
6	300	6	0	0.0550956	0.0164359
6	250	6	0	0.0300524	0.00939295
6	200	6	0	0.013474	0.00476291
6	165	6	0	0.00647916	0.00265092
7	400	6	0	0.0818771	0.0210212
7	350	6	0	0.0558312	0.0146765
7	300	6	0	0.0346253	0.00969362
7	250	6	0	0.0191396	0.00584517
7	200	6	0	0.00860288	0.00333116
7	165	6	0	0.00416232	0.00206541
8	400	6	0	0.0387336	0.00851739
8	350	6	0	0.0262118	0.00603324
8	300	6	0	0.0164303	0.00399763
8	250	6	0	0.00902043	0.00255619
8	200	6	0	0.00414387	0.00157367
8	165	6	0	0.00199889	0.00104951
9	400	6	0	0.0216445	0.00447257
9	350	6	0	0.0147353	0.0031435
9	300	6	0	0.00923326	0.00213736
9	250	6	0	0.00513884	0.00142928
9	200	6	0	0.00233441	0.000890708
9	165	6	0	0.00115836	0.000665174
10	400	6	0	0.0136543	0.0027663
10	350	6	0	0.00948806	0.00193363
10	300	6	0	0.00582841	0.00132266
10	250	6	0	0.00322374	0.00088426
10	200	6	0	0.00146283	0.000559624
10	165	6	0	0.000737028	0.000416438
11	400	6	0	0.179898	0.0438161
11	350	6	0	0.122274	0.0306645
11	300	6	0	0.0756937	0.0198361
11	250	6	0	0.0416741	0.011584
11	200	6	0	0.0186949	0.00609575
11	165	6	0	0.00899115	0.00357293
12	400	6	0	0.115796	0.021775
12	350	6	0	0.0788096	0.0152542
12	300	6	0	0.0489767	0.00996255
12	250	6	0	0.0269281	0.00613353
12	200	6	0	0.0121824	0.00347399
12	165	6	0	0.00589533	0.00228489
13	400	6	0	0.0417825	0.00620938
13	350	6	0	0.0285699	0.0044148
13	300	6	0	0.0180513	0.00302703
13	250	6	0	0.0101038	0.00194112
13	200	6	0	0.00468928	0.00128646
13	165	6	0	0.00232133	0.000989276
14	400	6	0	0.0179971	0.00257701
14	350	6	0	0.0125437	0.00194677
14	300	6	0	0.00803366	0.00133928
14	250	6	0	0.00463755	0.000926877
14	200	6	0	0.00216095	0.000645841
14	165	6	0	0.00111396	0.000527288
15	400	6	0	0.00949578	0.00132144
15	350	6	0	0.00671439	0.00104076
15	300	6	0	0.00426411	0.000729886
15	250	6	0	0.00249092	0.000539664
15	200	6	0	0.00120586	0.000395862
15	165	6	0	0.000610724	0.000306662
