location	energy(MeV/u)	SOBP_width(cm)	aperture_size(mm)	dose_EQ_min-15(pSv/ion)	dose_EQ_15-max(pSv/ion)
0	400	6	0	2.15138	0.650526
0	350	6	0	1.46567	0.436864
0	300	6	0	0.91152	0.2691
0	250	6	0	0.498542	0.147459
0	200	6	0	0.224633	0.0648922
0	165	6	0	0.105283	0.0298603
1	400	6	0	1.18053	0.374326
1	350	6	0	0.806299	0.251725
1	300	6	0	0.501737	0.154267
1	250	6	0	0.274254	0.0846181
1	200	6	0	0.123763	0.0379655
1	165	6	0	0.0578432	0.0177138
2	400	6	0	0.744181	0.242634
2	350	6	0	0.509489	0.163455
2	300	6	0	0.316605	0.100419
2	250	6	0	0.173015	0.0548708
2	200	6	0	0.0780409	0.0250839
2	165	6	0	0.036475	0.0116214
3	400	6	0	0.372669	0.125614
3	350	6	0	0.255274	0.085043
3	300	6	0	0.1589	0.0521339
3	250	6	0	0.0868427	0.0287826
3	200	6	0	0.0394943	0.0132779
3	165	6	0	0.0183653	0.00612106
4	400	6	0	0.223201	0.0766643
4	350	6	0	0.152365	0.0518715
4	300	6	0	0.0945201	0.0317594
4	250	6	0	0.0522749	0.0176988
4	200	6	0	0.0237342	0.00814666
4	165	6	0	0.0110785	0.00396465
5	400	6	0	0.148005	0.0517482
5	350	6	0	0.100469	0.0350496
5	300	6	0	0.062387	0.0212174
5	250	6	0	0.0348477	0.0121239
5	200	6	0	0.015951	0.00550956
5	165	6	0	0.00735871	0.00285898
6	400	6	0	1.30298	0.370859
6	350	6	0	0.884814	0.257453
6	300	6	0	0.551114	0.164383
6	250	6	0	0.300998	0.094421
6	200	6	0	0.134757	0.0480568
6	165	6	0	0.064834	0.0268291
7	400	6	0	0.81888	0.210004
7	350	6	0	0.558841	0.146433
7	300	6	0	0.346284	0.096915
7	250	6	0	0.191324	0.0583705
7	200	6	0	0.085924	0.0333719
7	165	6	0	0.0415513	0.020609
8	400	6	0	0.387433	0.0849823
8	350	6	0	0.262282	0.0601109
8	300	6	0	0.164298	0.0401176
8	250	6	0	0.0902402	0.0253851
8	200	6	0	0.0416178	0.0156183
8	165	6	0	0.0201838	0.0104023
9	400	6	0	0.216432	0.0446055
9	350	6	0	0.147259	0.0315274
9	300	6	0	0.0925466	0.0213172
9	250	6	0	0.0514308	0.0142164
9	200	6	0	0.0233015	0.00889386
9	165	6	0	0.0116324	0.00665525
10	400	6	0	0.136351	0.0276598
10	350	6	0	0.095047	0.0194285
10	300	6	0	0.0582285	0.0132229
10	250	6	0	0.0321691	0.00886902
10	200	6	0	0.0146139	0.00554817
10	165	6	0	0.00741793	0.00415384
11	400	6	0	1.79931	0.437996
11	350	6	0	1.22415	0.306178
11	300	6	0	0.757335	0.198307
11	250	6	0	0.416724	0.115503
11	200	6	0	0.187024	0.0608975
11	165	6	0	0.0894494	0.0357942
12	400	6	0	1.15893	0.217817
12	350	6	0	0.788032	0.152755
12	300	6	0	0.489417	0.0998571
12	250	6	0	0.268896	0.0613147
12	200	6	0	0.121643	0.0344949
12	165	6	0	0.0589623	0.0227476
13	400	6	0	0.417721	0.0621342
13	350	6	0	0.285647	0.044132
13	300	6	0	0.180523	0.030248
13	250	6	0	0.100872	0.0194771
13	200	6	0	0.046815	0.0128753
13	165	6	0	0.0232544	0.00990791
14	400	6	0	0.180498	0.0257018
14	350	6	0	0.125688	0.0194294
14	300	6	0	0.0799431	0.0134424
14	250	6	0	0.0464552	0.00923036
14	200	6	0	0.0215494	0.00647172
14	165	6	0	0.0111417	0.00530742
15	400	6	0	0.0946972	0.0133081
15	350	6	0	0.0668451	0.0103506
15	300	6	0	0.0426641	0.00728686
15	250	6	0	0.0247804	0.00531414
15	200	6	0	0.012021	0.00392728
15	165	6	0	0.00617492	0.00311361
