width,location,error
2,0,1.4381
2,1,2.00509
2,2,2.17953
2,3,3.10863
2,4,4.28827
2,5,5.29035
2,6,2.02796
2,7,3.23685
2,8,5.33393
2,9,8.03128
2,10,10.0961
2,11,2.06119
2,12,3.70043
2,13,5.61532
2,14,9.45488
2,15,14.5049
4,0,1.35303
4,1,1.77348
4,2,2.27925
4,3,3.30414
4,4,4.14131
4,5,5.33714
4,6,1.86553
4,7,3.31781
4,8,4.72441
4,9,7.81523
4,10,9.40798
4,11,2.81126
4,12,3.49122
4,13,6.53092
4,14,11.2338
4,15,11.8856
6,0,1.54596
6,1,2.09204
6,2,2.50459
6,3,3.68109
6,4,4.63122
6,5,5.71451
6,6,2.17949
6,7,3.21896
6,8,5.28176
6,9,6.64617
6,10,7.79487
6,11,2.15416
6,12,2.78699
6,13,5.89958
6,14,9.87695
6,15,14.3497
8,0,1.8204
8,1,2.23958
8,2,2.46557
8,3,3.41207
8,4,4.81759
8,5,6.36523
8,6,1.96846
8,7,3.87537
8,8,5.55887
8,9,7.20667
8,10,8.82583
8,11,2.39645
8,12,3.85224
8,13,6.24459
8,14,8.94466
8,15,13.1595
10,0,1.54785
10,1,2.19339
10,2,2.43469
10,3,2.80281
10,4,3.63078
10,5,5.13824
10,6,2.5817
10,7,3.65647
10,8,5.54513
10,9,7.44167
10,10,9.11961
10,11,2.59412
10,12,3.89518
10,13,6.06527
10,14,9.37869
10,15,10.6133
12,0,1.93871
12,1,2.34275
12,2,2.97386
12,3,3.92725
12,4,5.346
12,5,6.10089
12,6,2.11797
12,7,3.44376
12,8,5.58667
12,9,7.60118
12,10,8.96964
12,11,2.52872
12,12,3.74825
12,13,7.16603
12,14,10.8004
12,15,12.8758
,,
,,5.138154375
